Date,SPY,VLUE,QUAL,SIZE,USMV,MTUM
2013-07-18,147.69290161132812,46.9692497253418,44.80955123901367,46.654964447021484,29.379039764404297,49.60422897338867
2013-07-19,147.95530700683594,46.88343811035156,44.4610710144043,46.654964447021484,29.448476791381836,49.824241638183594
2013-07-22,148.24392700195312,47.01216506958008,44.6755256652832,47.4994010925293,29.457155227661133,49.888404846191406
2013-07-23,147.92904663085938,47.01216506958008,44.60403060913086,47.4994010925293,29.422433853149414,49.80591583251953
2013-07-24,147.3868408203125,47.01216506958008,44.54148864746094,47.4994010925293,29.231496810913086,49.63173294067383
2013-07-25,147.74539184570312,46.780452728271484,44.773807525634766,47.4994010925293,29.344329833984375,50.00758743286133
2013-07-26,147.90283203125,46.77186584472656,44.559364318847656,47.4994010925293,29.405080795288086,50.12677001953125
2013-07-29,147.44802856445312,46.88343811035156,44.72018814086914,47.27951431274414,29.361684799194336,50.053436279296875
2013-07-30,147.44802856445312,46.88343811035156,44.898902893066406,47.27951431274414,29.396400451660156,49.95258712768555
2013-07-31,147.55300903320312,46.88343811035156,44.78273010253906,47.41145324707031,29.309608459472656,49.90675354003906
2013-08-01,149.25845336914062,47.47559356689453,44.78273010253906,47.41145324707031,29.517908096313477,50.32844924926758
2013-08-02,149.5120391845703,47.52708053588867,45.31884765625,47.41145324707031,29.517908096313477,50.566795349121094
2013-08-05,149.29339599609375,47.46701431274414,45.32777786254883,47.921630859375,29.49187469482422,50.42012405395508
2013-08-06,148.44509887695312,47.18380355834961,45.08652877807617,47.921630859375,29.413753509521484,50.23677062988281
2013-08-07,147.96401977539062,46.88343811035156,44.898902893066406,47.921630859375,29.309608459472656,50.053436279296875
2013-08-08,148.50628662109375,46.88343811035156,45.11333465576172,47.921630859375,29.422433853149414,50.10842514038086
2013-08-09,148.07777404785156,47.072235107421875,45.015052795410156,47.657737731933594,29.361684799194336,49.98008728027344
2013-08-12,147.90283203125,46.98641586303711,44.872093200683594,47.657737731933594,29.318283081054688,49.84257125854492
2013-08-13,148.34010314941406,46.98641586303711,45.1401481628418,47.657737731933594,29.283571243286133,49.888404846191406
2013-08-14,147.57919311523438,47.1323127746582,44.836341857910156,47.657737731933594,29.136024475097656,49.475887298583984
2013-08-15,145.51519775390625,46.351356506347656,44.19301223754883,46.584590911865234,28.74546241760254,48.62332534790039
2013-08-16,145.0341796875,46.13679885864258,44.067928314208984,46.584590911865234,28.571880340576172,48.394134521484375
2013-08-19,144.10707092285156,45.98232650756836,44.014320373535156,46.20637512207031,28.433012008666992,48.3116455078125
2013-08-20,144.8155059814453,45.98232650756836,44.36279296875,46.52302932739258,28.623950958251953,48.549983978271484
2013-08-21,143.92340087890625,45.87077331542969,44.33597946166992,46.52302932739258,28.45037078857422,48.219970703125
2013-08-22,145.23526000976562,45.87077331542969,44.6755256652832,46.52302932739258,28.59792137145996,48.59581756591797
2013-08-23,145.7250518798828,45.87077331542969,44.639774322509766,46.62858581542969,28.7541446685791,48.733333587646484
2013-08-26,145.18283081054688,46.43716812133789,44.57723617553711,46.725337982177734,28.61527442932129,48.63249969482422
2013-08-27,142.84768676757812,45.45881652832031,43.8624267578125,46.725337982177734,28.34621810913086,47.9357795715332
2013-08-28,143.3549041748047,45.45881652832031,44.02324676513672,45.933685302734375,28.35489845275879,48.03663635253906
2013-08-29,143.5823211669922,45.45881652832031,44.13047790527344,45.933685302734375,28.406978607177734,48.28413391113281
2013-08-30,143.1275177001953,45.45881652832031,43.853485107421875,45.845726013183594,28.35489845275879,48.128292083740234
2013-09-03,143.77474975585938,45.45881652832031,44.04111862182617,45.845726013183594,28.31150245666504,48.40331268310547
2013-09-04,144.96417236328125,45.45881652832031,44.41639709472656,46.23275375366211,28.433012008666992,48.586669921875
2013-09-05,145.14785766601562,45.45881652832031,44.470001220703125,46.23275375366211,28.380943298339844,48.53165054321289
2013-09-06,145.21783447265625,46.25695037841797,44.69339370727539,46.461448669433594,28.45037078857422,48.57748794555664
2013-09-09,146.60842895507812,46.25695037841797,44.943565368652344,46.654964447021484,28.67603302001953,48.92585372924805
2013-09-10,147.69290161132812,46.866268157958984,45.202693939208984,46.95404815673828,28.858291625976562,49.26503372192383
2013-09-11,148.15643310546875,46.866268157958984,45.36351013183594,46.95404815673828,28.97980308532715,49.384212493896484
2013-09-12,147.76290893554688,46.866268157958984,45.41712951660156,46.95404815673828,28.910371780395508,49.49421691894531
2013-09-13,148.09521484375,46.866268157958984,45.533287048339844,46.95404815673828,29.023195266723633,49.73257064819336
2013-09-16,148.9523162841797,46.866268157958984,45.60477066040039,47.50819778442383,29.179424285888672,50.0809326171875
2013-09-17,149.6170654296875,47.43268966674805,45.85495376586914,47.50819778442383,29.266212463378906,50.200103759765625
2013-09-18,151.3487091064453,47.43268966674805,46.46253204345703,47.50819778442383,29.752248764038086,50.805137634277344
2013-09-19,151.09506225585938,47.91328430175781,46.52508544921875,48.32625198364258,29.68281364440918,50.79597854614258
2013-09-20,150.03868103027344,47.91328430175781,46.33745193481445,47.939208984375,29.483192443847656,50.475120544433594
2013-09-23,149.3444061279297,47.18380355834961,46.087257385253906,47.939208984375,29.405080795288086,50.135929107666016
2013-09-24,148.99285888671875,47.420989990234375,45.944725036621094,48.18056106567383,29.328081130981445,49.95557403564453
2013-09-25,148.5622100830078,47.420989990234375,45.75646209716797,48.18056106567383,29.223093032836914,49.707130432128906
2013-09-26,149.13348388671875,47.420989990234375,46.01643371582031,48.18056106567383,29.328081130981445,49.909576416015625
