Date,SPX_Index,Large_Value_Index,Small_Growth_Index,EAFE_Index,EM_Index
4/20/2016,5629.0066,1700.4677,771.7314,2985.0125,1424.9461
4/21/2016,5599.9068,1688.625,769.7846,2988.2012,1432.1767
4/22/2016,5600.2011,1697.6993,776.8644,2965.6813,1418.0401
4/25/2016,5590.0555,1691.6938,770.041,2959.9044,1407.9969
4/26/2016,5600.5246,1700.2662,776.5841,2964.5357,1413.8076
4/27/2016,5610.1731,1710.9926,777.8321,2958.865,1414.7744
4/28/2016,5558.7763,1694.8584,766.8848,2961.3409,1416.4234
4/29/2016,5530.6878,1685.5541,757.8734,2953.3936,1410.0145
5/2/2016,5573.9204,1697.1036,765.2412,2943.7301,1402.5968
5/3/2016,5525.7096,1678.046,751.7831,2912.8265,1378.369
5/4/2016,5494.0732,1666.9314,742.5767,2877.4455,1365.8525
5/5/2016,5494.089,1666.4593,739.03,2868.7539,1359.071
5/6/2016,5512.2602,1671.1799,741.4054,2865.3771,1352.2002
5/9/2016,5516.4705,1667.6339,747.3241,2864.2025,1344.8753
5/10/2016,5585.4515,1689.2324,753.6885,2894.1277,1355.1442
5/11/2016,5534.9448,1678.9144,742.0774,2894.7681,1356.9416
5/12/2016,5534.5555,1679.5191,736.6504,2880.5594,1354.8342
5/13/2016,5488.0576,1663.3159,734.2161,2857.4748,1337.0814
5/16/2016,5542.3904,1678.9227,744.8564,2869.0023,1339.3965
5/17/2016,5491.9334,1667.2665,732.49,2881.0175,1346.5318
5/18/2016,5493.8763,1668.9764,736.3545,2880.151,1334.2322
5/19/2016,5473.5625,1664.5404,731.5936,2840.1112,1313.5031
5/20/2016,5507.3878,1676.2286,744.6713,2866.2412,1319.4314
5/23/2016,5496.0872,1672.4563,745.1804,2858.5605,1325.7213
5/24/2016,5571.4236,1692.9619,762.524,2882.3933,1324.3021
5/25/2016,5610.6098,1708.5022,765.9749,2916.6883,1344.0252
5/26/2016,5610.2241,1705.7514,765.5356,2931.821,1349.5201
5/27/2016,5635.282,1713.3845,774.4275,2930.3552,1358.6272
5/30/2016,5635.282,1713.3845,774.4275,2935.3486,1357.8575
5/31/2016,5629.9874,1711.7353,778.2915,2929.0974,1357.6075
6/1/2016,5637.322,1714.6203,785.0533,2915.2328,1357.2542
6/2/2016,5653.8971,1719.7303,792.8405,2904.4383,1361.2363
6/3/2016,5637.5171,1713.3383,787.1327,2935.9906,1372.9625
6/6/2016,5665.2722,1724.9271,796.1157,2947.3123,1385.134
6/7/2016,5672.6975,1730.0259,798.1689,2975.6851,1406.6442
6/8/2016,5692.6359,1735.8708,803.8047,2982.9084,1418.0237
6/9/2016,5683.1048,1731.4994,797.0015,2945.8094,1409.1839
6/10/2016,5631.0336,1713.7627,783.639,2885.3716,1387.2987
6/13/2016,5587.0099,1701.2418,774.2677,2830.5276,1363.2595
6/14/2016,5577.3481,1695.5186,773.7056,2771.604,1352.543
6/15/2016,5567.5084,1693.1732,775.1414,2795.3314,1361.2765
6/16/2016,5585.8636,1698.1477,774.6695,2758.8836,1347.8901
6/17/2016,5567.694,1699.1202,768.606,2805.8925,1358.7504
6/20/2016,5600.0748,1709.714,778.5978,2908.1219,1384.2212
6/21/2016,5615.7589,1716.3497,773.8779,2918.6486,1391.5814
6/22/2016,5606.5347,1713.1525,771.2236,2923.024,1399.6365
6/23/2016,5681.5315,1739.8129,787.3652,2968.2692,1410.2183
6/24/2016,5477.4521,1673.0944,756.4542,2757.5218,1360.443
6/27/2016,5378.3294,1638.4112,732.0137,2676.0987,1343.5462
6/28/2016,5475.083,1668.9183,745.1063,2722.5905,1361.7512
6/29/2016,5569.0434,1699.9069,761.8926,2805.6744,1391.5095
6/30/2016,5644.5992,1726.5367,774.7106,2831.954,1412.6448
7/1/2016,5656.6285,1728.275,778.4554,2853.5383,1421.4446
7/4/2016,5656.6285,1728.275,778.4554,2851.6348,1428.6364
7/5/2016,5618.3003,1710.8543,768.5019,2816.0931,1409.102
7/6/2016,5650.3469,1720.0135,774.7581,2770.7052,1388.0833
7/7/2016,5645.9908,1715.9206,778.0393,2787.9774,1401.7429
7/8/2016,5732.1349,1743.1,796.2964,2803.8981,1404.9311
7/11/2016,5751.6735,1749.4161,804.0938,2850.6655,1435.658
7/12/2016,5792.0159,1765.31,812.6381,2882.7712,1448.53
7/13/2016,5793.3428,1767.1072,807.955,2898.5972,1452.6831
7/14/2016,5823.9332,1776.1607,808.097,2913.7224,1469.1397
7/15/2016,5818.5231,1775.4228,809.9809,2906.1846,1473.0552
7/18/2016,5832.6207,1778.6088,811.9026,2910.8869,1479.6767
7/19/2016,5824.3913,1775.4473,806.1568,2894.3495,1477.0466
7/20/2016,5850.0006,1779.4199,815.3336,2912.2783,1481.569
7/21/2016,5828.9637,1773.1215,810.5465,2918.5128,1482.6693
7/22/2016,5855.5352,1782.1673,817.8722,2906.2903,1479.4867
7/25/2016,5837.9337,1774.3994,816.2643,2909.1669,1479.2396
7/26/2016,5840.0001,1778.1574,820.4454,2915.5762,1482.1515
7/27/2016,5833.2085,1771.0055,823.5465,2924.312,1487.8372
7/28/2016,5843.0894,1772.2825,823.9759,2920.848,1490.4351
7/29/2016,5852.6848,1776.6672,825.368,2975.4145,1487.1343
8/1/2016,5845.2728,1766.8869,827.422,2963.3657,1502.7748
8/2/2016,5808.2336,1754.6067,815.0747,2943.7343,1493.1059
8/3/2016,5828.209,1763.9305,821.0326,2913.0636,1478.5497
8/4/2016,5830.9218,1763.5828,822.1612,2931.6922,1492.1266
8/5/2016,5881.218,1783.0909,831.7703,2935.1714,1508.5277
8/8/2016,5876.4357,1784.92,830.1035,2952.2327,1525.6141
8/9/2016,5878.953,1784.1522,831.7954,2987.4645,1532.9898
8/10/2016,5864.2874,1777.0473,825.7957,2995.7793,1538.5903
8/11/2016,5892.816,1786.005,830.3644,3014.1807,1546.5555
8/12/2016,5888.4302,1784.9708,831.819,3018.9161,1550.862
8/15/2016,5905.5864,1791.7421,839.7005,3019.1272,1561.2649
8/16/2016,5874.2732,1783.7337,831.3798,3007.6595,1560.8217
8/17/2016,5886.7102,1788.2706,827.8131,3003.329,1550.7409
8/18/2016,5899.8047,1795.968,833.4328,3015.6285,1562.4859
8/19/2016,5892.1284,1791.2708,833.6424,3001.3502,1552.1535
8/22/2016,5888.9152,1788.4924,836.4006,3005.9793,1541.7568
8/23/2016,5900.5648,1792.5421,842.9304,3022.5438,1545.7225
8/24/2016,5869.9758,1784.5493,833.5057,3018.4104,1529.3563
8/25/2016,5862.0633,1784.8721,834.1866,3006.3492,1531.6679
8/26/2016,5852.9329,1780.5684,834.1352,3006.8388,1537.3882
8/29/2016,5884.3354,1794.1153,838.1366,2982.4151,1528.1852
8/30/2016,5873.78,1794.4718,839.1193,2983.6976,1533.274
8/31/2016,5860.9208,1790.3671,834.142,2977.8466,1524.5241
9/1/2016,5860.7442,1788.3712,836.5087,2993.9246,1520.6046
9/2/2016,5885.6703,1797.9688,843.7916,3021.3275,1535.9107
9/5/2016,5885.6703,1797.9688,843.7916,3032.3554,1553.0297
9/6/2016,5903.3481,1802.8499,846.6112,3056.1295,1576.6966
9/7/2016,5903.9023,1804.0792,850.9034,3065.4703,1581.3166
9/8/2016,5891.0291,1805.2323,848.2831,3062.6443,1583.712
9/9/2016,5746.6573,1760.205,821.2237,3017.407,1553.1524
9/12/2016,5831.3111,1785.2003,834.1911,2985.5952,1519.2385
9/13/2016,5746.6016,1753.5463,819.2687,2964.7073,1513.4753
9/14/2016,5743.6217,1748.4594,821.611,2956.5416,1512.2867
9/15/2016,5802.6338,1764.9764,833.3281,2962.7013,1518.9904
9/16/2016,5780.7978,1756.5651,831.8563,2942.5513,1512.9587
9/19/2016,5780.771,1759.7471,836.8251,2972.491,1533.9559
9/20/2016,5782.5681,1757.1533,834.8418,2972.3994,1535.9206
9/21/2016,5845.7553,1778.0667,845.6503,3004.0665,1547.7389
9/22/2016,5883.8472,1789.5211,857.2074,3055.3854,1573.8997
9/23/2016,5850.0929,1778.8909,850.6177,3035.3563,1568.1288
9/26/2016,5800.3577,1763.6322,841.8136,3008.6051,1547.6179
9/27/2016,5838.0066,1770.7804,847.3944,3006.0615,1557.3403
9/28/2016,5870.2242,1788.1259,851.358,3010.5997,1559.3542
9/29/2016,5815.6474,1770.7191,837.1559,3024.3613,1561.5519
9/30/2016,5862.0151,1786.6359,846.1516,3015.6145,1544.5828
10/3/2016,5843.6359,1779.8871,843.0773,3018.0705,1558.7765
10/4/2016,5815.2261,1770.2206,839.6391,3021.3136,1565.6501
10/5/2016,5842.585,1782.9918,844.4596,3015.2515,1565.2401
10/6/2016,5845.5521,1782.4847,842.8607,3004.0859,1568.3234
10/7/2016,5826.725,1778.1555,836.1889,2992.5605,1564.5261
10/10/2016,5853.5625,1787.2731,845.8409,3001.2631,1571.1758
10/11/2016,5780.7471,1764.7917,827.7101,2973.6664,1548.7702
10/12/2016,5787.8526,1765.5654,825.3544,2946.4446,1543.9956
10/13/2016,5770.1245,1759.7235,818.5816,2932.5072,1523.3329
10/14/2016,5771.2897,1759.4639,814.5396,2950.8534,1534.2474
10/17/2016,5753.9114,1755.2166,812.5543,2937.1384,1530.2793
10/18/2016,5789.3576,1764.5153,816.7933,2967.1229,1553.9508
10/19/2016,5802.8901,1770.4026,818.2422,2978.8227,1562.1605
10/20/2016,5795.3165,1767.7592,816.6906,2978.4601,1562.2118
10/21/2016,5794.8565,1761.7953,816.3821,2965.3992,1558.6659
10/24/2016,5822.4131,1765.6191,821.913,2966.3573,1570.9332
10/25/2016,5800.4848,1762.1567,813.572,2962.7117,1570.6767
10/26/2016,5790.4684,1763.4097,803.7493,2965.4621,1557.5592
10/27/2016,5773.3911,1759.3182,792.1087,2956.6622,1548.636
10/28/2016,5755.7659,1756.571,791.4935,2954.0647,1545.5988
10/31/2016,5755.0816,1758.9842,793.5684,2954.4251,1548.334
11/1/2016,5716.0845,1747.766,785.2463,2953.7588,1544.1653
11/2/2016,5679.51,1734.3444,773.8869,2937.1107,1523.0205
11/3/2016,5656.4625,1731.8615,767.7939,2931.5756,1514.0358
11/4/2016,5647.1831,1728.5735,773.4891,2908.3865,1505.876
11/7/2016,5772.7377,1765.2249,792.8372,2923.4495,1530.9655
11/8/2016,5797.3513,1771.891,795.5533,2932.8415,1544.1081
11/9/2016,5861.973,1799.8272,819.399,2902.9505,1506.0428
11/10/2016,5873.9659,1814.721,830.0846,2921.4669,1498.3575
11/11/2016,5865.7545,1811.9012,849.7581,2911.4499,1452.9702
11/14/2016,5865.9233,1825.1089,858.1645,2890.1142,1435.6827
11/15/2016,5911.184,1839.2032,859.8847,2895.1013,1440.0308
11/16/2016,5903.4795,1829.3968,859.2026,2885.5009,1449.8494
11/17/2016,5931.4354,1834.656,865.5638,2900.4856,1449.9336
11/18/2016,5918.2226,1833.1485,868.7297,2867.6374,1445.3827
11/21/2016,5962.4653,1845.8153,872.7574,2887.2564,1450.297
11/22/2016,5975.6571,1849.6361,877.5232,2888.5032,1467.5601
11/23/2016,5980.6824,1855.2801,883.4211,2870.6617,1465.0056
